GeneID	S01	S02	S03	S04	S05	S06	S07	S08
ENSG00000000036	13919	9698	7995	4165	3387	5842	2075	5991
ENSG00000000037	54	220	197	132	346	348	375	754
ENSG00000000038	2980	4503	1686	1721	504	522	500	563
ENSG00000000039	2905	1113	2153	1765	7673	12390	7874	16375
ENSG00000000040	118	266	392	74	31	23	42	54
ENSG00000000041	1046	600	475	866	1525	731	1408	698
ENSG00000000042	34722	24309	27978	33361	5506	9722	4658	3421
ENSG00000000043	357	535	442	1439	9613	8116	5788	6894
ENSG00000000044	423	253	206	511	91	46	85	34
ENSG00000000045	616	1096	2142	2778	4719	5522	5887	6600
ENSG00000000046	1141	1305	1021	1862	486	981	722	237
ENSG00000000047	452	249	335	102	1934	1120	2261	1171
ENSG00000000048	7715	8296	10397	9409	2017	2764	1687	1574
ENSG00000000049	22264	13745	19418	9221	155072	276495	54483	96674
ENSG00000000050	1026	1767	1214	1016	367	424	409	228
ENSG00000000051	2920	1828	2889	1326	19482	45952	20954	12850
ENSG00000000052	13118	23882	8763	8799	2211	2697	4279	1829
ENSG00000000053	2572	1523	1868	774	7190	6115	15469	9222
ENSG00000000054	700	465	1012	1200	238	287	475	193
ENSG00000000055	862	726	818	412	1083	1301	2656	1199
ENSG00000000056	27663	27610	35445	15812	6123	5893	9683	6049
ENSG00000000057	39	94	151	101	553	403	469	278
ENSG00000000058	18	16	29	46	4	6	2	3
ENSG00000000059	123	94	165	73	983	458	550	633
ENSG00000000060	6580	5032	2163	4856	592	1504	727	657
ENSG00000000061	18759	11269	16246	2491	9862	9972	11502	8873
ENSG00000000062	1924	3351	2901	1496	1329	4414	1493	2572
ENSG00000000063	16619	22493	16451	25636	21812	14225	20160	11954
ENSG00000000064	1672	1062	1985	621	2632	2649	646	1174
ENSG00000000065	412	1353	1319	1279	1085	1901	1148	1052
ENSG00000000066	95	56	60	96	78	109	56	55
ENSG00000000067	7755	8011	6443	5442	5888	7208	3587	5993
ENSG00000000068	180	197	125	210	149	210	239	328
ENSG00000000069	2056	755	2740	905	2108	2798	1770	717
ENSG00000000070	4842	1520	2440	3925	1536	3760	1453	2972
ENSG00000000071	26310	14187	18374	11980	10927	33047	18036	18345
ENSG00000000072	1995	2851	5171	8703	6300	6973	5542	2078
ENSG00000000073	608	996	714	1069	1635	1220	707	238
ENSG00000000074	7182	6151	4809	4945	4586	4997	7209	3046
ENSG00000000075	4807	4094	6146	3393	6487	6126	5207	7044
ENSG00000000076	432	376	422	291	513	583	417	586
ENSG00000000077	10723	7712	13202	18252	7877	11071	15825	14265
ENSG00000000078	85160	50744	33234	50685	35678	86574	71964	56196
ENSG00000000079	2118	3027	5402	5363	2342	5404	3281	2671
ENSG00000000080	20348	17064	20727	20004	9545	9631	18797	12128
ENSG00000000081	298	210	458	791	633	1024	492	302
ENSG00000000082	1292	1812	3549	5426	3202	4972	3602	5330
ENSG00000000083	272	420	229	463	169	322	377	166
ENSG00000000084	830	3895	5335	2851	2072	5430	2289	3572
ENSG00000000085	1559	1981	3212	969	1104	939	1629	1456
ENSG00000000086	552	345	230	483	497	547	519	363
ENSG00000000087	4306	4616	9162	9037	12364	6365	8504	3575
ENSG00000000088	5207	3568	9106	8008	8537	6283	5134	4416
ENSG00000000089	1115	1924	2362	1348	2303	2276	1393	1293
ENSG00000000090	4617	3774	5439	3784	4810	9022	2233	4118
ENSG00000000091	508	411	553	637	554	1617	654	445
ENSG00000000092	3785	4845	6570	5654	7355	3551	8643	5955
ENSG00000000093	23786	14328	8762	9402	6816	25176	42399	15744
ENSG00000000094	1101	1246	813	1466	796	1304	984	564
ENSG00000000095	90	114	203	152	160	60	262	225
ENSG00000000096	24795	18179	24042	24560	18836	42041	30837	12947
ENSG00000000097	260	287	190	485	237	149	349	208
ENSG00000000098	4033	2475	2970	3748	3755	3655	3440	1949
ENSG00000000099	2709	1382	3588	2656	1810	2676	4059	672
ENSG00000000100	3091	2160	2356	2198	3246	1667	1482	1220
ENSG00000000101	6518	6261	10030	15979	10919	13008	9879	8530
ENSG00000000102	4388	3658	16089	8053	3793	12010	7673	9934
ENSG00000000103	5089	3563	4040	3793	3158	3425	6267	2547
ENSG00000000104	221	182	236	454	329	176	186	271
ENSG00000000105	3802	8121	1817	3572	2893	6445	5233	3015
ENSG00000000106	279	228	178	305	116	178	207	158
ENSG00000000107	938	2562	2480	838	1007	1505	2017	996
ENSG00000000108	73	33	108	174	82	259	204	46
ENSG00000000109	3200	1247	1089	2364	1999	2218	2377	1215
ENSG00000000110	7213	4205	10143	8889	4069	8162	2631	5100
ENSG00000000111	358	388	298	195	161	504	391	491
ENSG00000000112	2491	6422	6359	5610	5452	10253	4086	6208
ENSG00000000113	3447	3976	6001	3853	3166	3452	2153	3057
ENSG00000000114	1030	1796	1488	795	1776	1182	876	1445
ENSG00000000115	4399	2960	3573	3012	2724	7019	4394	1963
ENSG00000000116	3300	2173	1230	1617	4315	2649	2606	2451
ENSG00000000117	7175	6458	9474	10522	7721	4834	5180	8751
ENSG00000000118	2020	1221	956	2010	736	2515	768	1323
ENSG00000000119	1069	1408	614	627	1480	1640	1017	698
ENSG00000000120	4460	3395	5754	4725	6177	8278	6802	5327
ENSG00000000121	7714	8793	13080	10142	8635	11258	11099	13138
ENSG00000000122	389	337	309	574	155	497	781	373
ENSG00000000123	1178	2267	2221	1548	1176	1651	970	2271
ENSG00000000124	960	605	929	670	907	532	343	203
ENSG00000000125	17113	24237	10803	11046	7453	16580	10670	12159
ENSG00000000126	2175	1802	2666	3357	1448	3838	1728	1395
ENSG00000000127	1835	1485	1897	3565	712	3853	3702	1684
ENSG00000000128	9528	19041	9396	15860	6155	15617	19451	9633
ENSG00000000129	15419	24141	20131	23381	26208	33987	26207	13555
ENSG00000000130	682	499	441	750	457	304	375	458
ENSG00000000131	855	921	1563	841	1016	2174	1052	1590
ENSG00000000132	753	687	604	593	179	917	593	439
ENSG00000000133	570	559	355	434	471	544	929	1023
ENSG00000000134	2363	917	3261	1418	2164	2691	1385	1150
ENSG00000000135	1364	2420	1335	1438	891	2044	1451	1723
ENSG00000000136	471	322	388	298	289	575	514	553
ENSG00000000137	625	686	796	787	269	499	823	609
ENSG00000000138	4574	2604	8536	9204	3908	4678	6238	4166
ENSG00000000139	452	574	436	1233	560	1202	315	345
ENSG00000000140	4564	6156	9006	5857	3324	5494	3947	2531
ENSG00000000141	1657	2155	1726	1733	1904	2104	1135	1164
ENSG00000000142	44928	46381	22686	34407	33157	41250	63292	31550
ENSG00000000143	28593	33518	28920	42520	30481	25015	42224	29181
ENSG00000000144	184	349	254	256	73	187	234	316
ENSG00000000145	658	760	737	849	663	344	464	462
ENSG00000000146	4382	1584	4296	4894	2871	3130	6165	4001
ENSG00000000147	51455	25202	32875	35526	28859	74034	33657	35307
ENSG00000000148	1507	2531	1239	1981	2373	1693	1553	2228
ENSG00000000149	2733	1288	4008	2040	704	3043	1537	1685
ENSG00000000150	4845	3525	3850	3507	5978	4962	2554	7508
ENSG00000000151	6672	2278	9774	3008	5565	6538	4915	3774
ENSG00000000152	46466	24411	56561	47767	44548	65734	43288	30310
ENSG00000000153	10393	16497	15038	11443	14472	22251	21565	7577
ENSG00000000154	1676	2805	2835	1573	1295	2331	1817	1010
ENSG00000000155	157	69	122	155	79	111	30	124
ENSG00000000156	17008	36303	44863	22164	19657	31841	48583	13888
ENSG00000000157	3836	5083	2344	3759	3858	5799	4700	3564
ENSG00000000158	541	453	524	531	518	652	864	629
ENSG00000000159	151	191	331	300	531	518	189	295
ENSG00000000160	1709	1444	3289	2548	3287	2478	1594	1695
ENSG00000000161	29440	25163	46967	20780	27008	36111	33526	16575
ENSG00000000162	11725	10850	18716	10700	9283	18259	18257	6462
ENSG00000000163	5347	11276	10481	7130	7701	7698	12737	4452
ENSG00000000164	792	868	495	213	896	1450	912	538
ENSG00000000165	572	719	919	1013	497	1271	512	187
ENSG00000000166	1351	1117	1110	845	1462	2444	1223	960
ENSG00000000167	94	68	109	83	102	156	77	67
ENSG00000000168	102	78	176	99	112	102	97	52
ENSG00000000169	156	351	268	131	334	255	490	258
ENSG00000000170	115	60	113	90	135	182	52	121
ENSG00000000171	4415	5663	7237	8784	10640	8677	5209	6392
ENSG00000000172	2452	9533	5956	6331	9344	5419	3235	2314
ENSG00000000173	2220	1530	3719	3518	3522	2242	1976	2462
ENSG00000000174	386	247	392	193	344	291	190	185
ENSG00000000175	16790	23415	13598	12249	24387	6733	11138	10148
ENSG00000000176	1211	1514	2228	1172	2497	3388	2648	1590
ENSG00000000177	275	842	584	265	447	904	1151	548
ENSG00000000178	17178	12998	12359	4274	10747	9632	4758	7171
ENSG00000000179	1004	1315	1959	1646	683	430	1416	1003
ENSG00000000180	2110	2047	2140	596	1797	1160	1286	1196
ENSG00000000181	10487	8668	7894	13321	10123	22690	10823	4145
ENSG00000000182	853	1032	1128	585	1756	1495	901	765
ENSG00000000183	2593	2121	1478	1317	2126	1309	2270	2081
ENSG00000000184	528	717	760	734	469	365	528	754
ENSG00000000185	3994	2237	6713	5954	5398	5959	3331	3863
ENSG00000000186	30	59	97	58	27	67	40	87
ENSG00000000187	11640	10774	11262	17264	15934	22101	33348	15579
ENSG00000000188	656	1206	913	602	862	1225	2242	813
ENSG00000000189	107	155	158	189	100	227	137	215
ENSG00000000190	7354	5953	3442	3717	8970	4955	2882	4328
ENSG00000000191	1579	1061	509	1283	1647	1939	830	1394
ENSG00000000192	546	426	500	516	592	586	457	532
ENSG00000000193	1636	2715	1855	1719	643	2307	2027	1258
ENSG00000000194	29575	39817	63551	37572	32243	56353	30450	48348
ENSG00000000195	2041	1320	1179	2191	880	2043	2070	868
ENSG00000000196	1337	1956	4577	4991	2366	7417	4932	3278
ENSG00000000197	149	112	82	208	124	115	260	98
ENSG00000000198	4562	4141	3375	7311	2905	4550	4668	4868
ENSG00000000199	37	37	64	81	139	81	69	59
ENSG00000000200	7715	13007	12702	13149	9305	13873	7174	6181
ENSG00000000201	3510	5062	2119	5794	2595	3298	5287	4926
ENSG00000000202	38	69	73	64	25	74	15	52
ENSG00000000203	723	1658	1836	1365	1617	1701	4117	1987
ENSG00000000204	6850	4663	6317	3575	18967	5363	14857	4434
ENSG00000000205	1497	989	1619	903	1117	1823	2301	1254
ENSG00000000206	415	681	506	912	695	1303	653	912
ENSG00000000207	187	494	219	651	246	160	261	277
ENSG00000000208	1409	1735	2283	855	1564	1846	2585	946
ENSG00000000209	1402	1889	819	852	2104	2246	1326	1025
ENSG00000000210	1418	2715	4064	2261	1729	2429	3562	2001
ENSG00000000211	593	2895	2384	1212	1136	3033	1655	1048
ENSG00000000212	1961	1638	1415	849	792	1795	2620	2324
ENSG00000000213	472	794	1279	848	1163	870	1099	902
ENSG00000000214	310	421	493	408	290	585	270	329
ENSG00000000215	3916	3186	5231	4701	4794	4167	2727	3435
ENSG00000000216	3017	3199	5850	6007	2418	7053	3605	10271
ENSG00000000217	231	321	287	292	386	611	526	305
ENSG00000000218	137	160	226	201	316	385	137	104
ENSG00000000219	1486	5207	1571	2450	1607	2244	2937	857
ENSG00000000220	244	237	277	161	279	305	362	281
ENSG00000000221	320863	173012	513497	118097	278335	298762	259368	97014
ENSG00000000222	5089	4085	9900	5121	4287	5301	7096	3316
ENSG00000000223	3720	7364	5199	6629	8155	7611	9043	6345
ENSG00000000224	2921	3104	5022	2090	2729	3440	4407	3082
ENSG00000000225	1468	1090	3018	1830	1009	1539	897	1106
ENSG00000000226	115	107	192	75	50	102	61	70
ENSG00000000227	145	316	533	326	354	741	266	384
ENSG00000000228	162	1041	1234	1076	464	1765	354	453
ENSG00000000229	2195	868	679	1252	1122	652	896	1219
ENSG00000000230	1122	892	1289	750	567	1023	586	336
ENSG00000000231	18669	9446	26208	12073	10893	29316	32302	10414
ENSG00000000232	1813	2320	3208	2111	2950	4644	2205	791
ENSG00000000233	5759	6179	7447	4928	5174	4612	8183	7251
ENSG00000000234	4091	3013	9493	3945	2694	8284	11579	3002
ENSG00000000235	960	1614	2311	1711	2286	1214	593	1084
ENSG00000000236	92	92	55	154	72	207	165	132
ENSG00000000237	8456	16020	30628	35139	8973	13438	14128	4340
ENSG00000000238	961	1235	3237	958	488	3757	1345	1456
ENSG00000000239	54	71	135	68	69	113	55	102
ENSG00000000240	1970	1510	1253	2253	1209	3386	3615	3866
ENSG00000000241	174	405	555	367	631	519	447	868
ENSG00000000242	5297	4339	3201	3840	4278	3894	2148	2712
ENSG00000000243	1398	5685	3106	2900	5913	1552	4405	2853
ENSG00000000244	1641	3189	3381	5710	9244	7824	5196	4731
ENSG00000000245	1507	1197	1099	1436	2189	1199	1080	1368
ENSG00000000246	159	185	224	128	89	248	334	229
ENSG00000000247	775	2752	1739	626	434	1507	1419	1466
ENSG00000000248	31020	23614	28388	34161	27374	33480	29145	14741
ENSG00000000249	1299	782	1525	1917	972	1566	1115	742
ENSG00000000250	137	169	171	227	93	265	63	142
ENSG00000000251	831	2357	815	2660	3137	2636	1304	1671
ENSG00000000252	9050	3176	10769	8005	12788	6986	11182	8857
ENSG00000000253	1575	1571	5661	1752	3832	5141	6078	2621
ENSG00000000254	3193	3919	4398	1693	2633	1332	2470	1698
ENSG00000000255	2144	1497	1485	1153	1698	1673	1777	2567
ENSG00000000256	609	460	695	777	592	994	919	758
ENSG00000000257	552	558	429	861	260	320	348	277
ENSG00000000258	4024	6836	2613	6787	3940	5108	5129	3282
ENSG00000000259	11746	26324	33378	14109	8778	24212	14602	18164
ENSG00000000260	1905	1716	2985	2034	4508	3627	5702	2129
ENSG00000000261	226	355	302	236	392	116	321	121
ENSG00000000262	1182	1325	3063	3710	1024	1163	1464	906
ENSG00000000263	31463	25563	69043	40573	29303	22273	59128	12780
ENSG00000000264	111	147	123	158	107	170	327	175
ENSG00000000265	10086	937	5069	11849	2302	11680	7208	6938
ENSG00000000266	1827	794	2322	680	1280	815	946	399
ENSG00000000267	4729	2476	1665	1368	3228	4222	2841	1872
ENSG00000000268	1548	2285	1999	1469	1676	1854	3794	973
ENSG00000000269	2725	1730	3499	2881	3416	2551	918	2865
ENSG00000000270	1365	1523	628	713	1030	1334	891	698
ENSG00000000271	340	723	592	369	279	529	849	951
ENSG00000000272	207	192	495	198	204	181	133	465
ENSG00000000273	6701	13557	6729	7831	7535	11613	7062	10437
ENSG00000000274	920	2743	4796	4057	1047	1842	3101	1571
ENSG00000000275	1421	2851	499	3858	3897	4864	2581	1429
ENSG00000000276	707	1187	2068	1343	2293	1853	1363	1547
ENSG00000000277	6647	13736	8858	34581	13730	19870	9784	9080
ENSG00000000278	218	277	195	485	215	275	519	255
ENSG00000000279	600	1894	3040	2519	3238	4609	2220	1937
ENSG00000000280	2055	3828	4286	5373	7305	5195	5639	2975
ENSG00000000281	8369	9666	11477	7341	3329	4946	5556	6567
ENSG00000000282	1085	1089	994	856	1090	1730	1116	598
ENSG00000000283	2229	3832	1313	2401	2576	2759	1465	1990
ENSG00000000284	2046	2029	1473	4320	2534	1378	1977	2538
ENSG00000000285	537	1066	1195	1120	1206	867	1577	745
ENSG00000000286	2918	3826	3440	5695	5833	4152	5895	5538
ENSG00000000287	470	1066	922	582	888	750	728	290
ENSG00000000288	11373	10212	8667	17741	14570	25197	19097	37053
ENSG00000000289	8456	19784	23375	5595	17359	18527	10519	24888
ENSG00000000290	288	399	670	814	1145	751	742	682
ENSG00000000291	1393	1869	3797	1917	2018	1976	3191	3477
ENSG00000000292	1544	2595	1670	900	1077	1010	1564	909
ENSG00000000293	341	501	1025	543	613	386	513	385
ENSG00000000294	1612	1039	3598	3488	1635	6615	2240	4335
ENSG00000000295	4795	7315	6995	8292	6154	7336	5364	6672
ENSG00000000296	741	609	794	712	867	1108	1328	1281
ENSG00000000297	28261	25536	56383	36459	15126	41019	19757	10441
ENSG00000000298	8390	7868	16847	13124	7720	17272	15769	7707
ENSG00000000299	1236	4247	960	2107	793	1533	3249	1495
ENSG00000000300	2084	2597	3253	2631	2507	3167	3767	1485
ENSG00000000301	1794	1417	1212	1117	1567	1743	1418	1985
ENSG00000000302	238	187	496	335	236	453	385	103
ENSG00000000303	4738	5319	5680	6142	1271	7191	4200	3055
ENSG00000000304	4843	4135	7440	6988	5113	2299	5761	2839
ENSG00000000305	198	618	288	269	653	330	491	291
ENSG00000000306	294	339	333	417	429	263	503	487
ENSG00000000307	1133	728	613	1062	445	1226	427	364
ENSG00000000308	1895	4651	5006	2175	3115	4317	4867	1878
ENSG00000000309	5263	4376	3201	3230	3482	10136	4980	2796
ENSG00000000310	5645	4085	14163	7683	8401	7090	10324	10706
ENSG00000000311	119	172	311	500	408	182	159	179
ENSG00000000312	94	91	144	89	119	158	69	151
ENSG00000000313	8399	6401	4907	5026	4285	11454	8016	4892
ENSG00000000314	2063	2297	1819	2165	1926	1674	2466	1260
ENSG00000000315	3009	2326	4555	4923	3941	4308	4990	3218
ENSG00000000316	1297	4584	1246	1732	3401	857	919	1814
ENSG00000000317	3736	6633	11072	4520	4734	5031	6818	5471
ENSG00000000318	208	501	898	243	494	535	315	523
ENSG00000000319	1565	2201	1580	3787	2299	4157	1799	1411
ENSG00000000320	2723	2702	2007	1885	1369	1793	1887	1755
ENSG00000000321	17979	17430	16835	13154	11168	15739	45555	13229
ENSG00000000322	575	1039	823	878	740	419	661	368
ENSG00000000323	16116	8028	15030	17607	6309	7014	15746	7044
ENSG00000000324	1239	1836	3005	2407	3332	5335	3385	3069
ENSG00000000325	447	70	1074	541	312	537	572	387
ENSG00000000326	619	1173	1695	1544	1872	1807	2246	1709
ENSG00000000327	1144	2080	1404	1597	1518	1771	1759	1912
ENSG00000000328	88	72	76	105	41	100	69	35
ENSG00000000329	1726	764	1727	2437	2503	2306	2849	1405
ENSG00000000330	32377	29566	40636	16948	19082	30698	45624	25453
ENSG00000000331	2369	2813	2893	2933	2302	1821	1401	2224
ENSG00000000332	5094	3569	2961	4669	4920	3558	8472	5801
ENSG00000000333	192	202	182	125	183	176	126	274
ENSG00000000334	242	756	778	529	960	517	597	202
ENSG00000000335	1470	926	1216	629	1141	1426	979	291
ENSG00000000336	271	407	575	756	164	284	583	350
ENSG00000000337	593	1043	1282	1143	1313	1768	556	1214
ENSG00000000338	1954	3127	5210	4331	452	3856	5712	1543
ENSG00000000339	449	178	409	369	646	1383	634	395
ENSG00000000340	1050	1810	2060	1652	1307	4625	1837	1700
ENSG00000000341	287	426	286	579	754	362	606	348
ENSG00000000342	928	802	489	894	310	1299	1485	574
ENSG00000000343	5237	5682	8330	4503	5358	5191	5421	9360
ENSG00000000344	104	76	77	124	63	175	115	70
ENSG00000000345	8610	21216	19852	21017	21924	16666	20022	9158
ENSG00000000346	2227	676	2139	1785	1097	1711	1343	1364
ENSG00000000347	231	228	178	198	283	214	170	176
ENSG00000000348	279	222	336	536	455	446	335	513
ENSG00000000349	623	691	219	621	292	1040	607	504
ENSG00000000350	1837	2303	2175	1646	1879	6528	679	1974
ENSG00000000351	281	561	489	428	347	990	452	535
ENSG00000000352	368	991	1019	957	820	763	670	558
ENSG00000000353	344	225	347	316	144	374	140	350
ENSG00000000354	52	113	146	155	116	116	67	24
ENSG00000000355	2258	3391	4416	2279	6545	3216	4381	3494
ENSG00000000356	283	222	596	513	428	563	353	422
ENSG00000000357	79	92	120	144	62	193	95	35
ENSG00000000358	970	763	916	581	314	667	608	382
ENSG00000000359	3260	3040	4703	3083	2288	6313	4151	1705
ENSG00000000360	2615	2501	2080	1707	2297	1210	2294	2486
ENSG00000000361	11	3	8	8	8	14	11	8
ENSG00000000362	6	13	18	13	7	16	13	15
ENSG00000000363	4	4	5	3	4	11	6	7
ENSG00000000364	1	2	3	4	0	3	0	4
ENSG00000000365	12	16	16	31	9	32	21	6
ENSG00000000366	9	7	23	10	22	18	15	11
ENSG00000000367	0	4	2	0	2	1	3	2
ENSG00000000368	7	10	11	9	15	28	15	17
ENSG00000000369	2	2	4	6	3	3	7	1
ENSG00000000370	0	0	0	2	0	0	0	0
ENSG00000000371	8	6	6	9	11	11	3	2
ENSG00000000372	9	11	8	8	3	2	19	6
ENSG00000000373	0	0	0	0	0	1	0	0
ENSG00000000374	15	11	24	18	14	13	29	7
ENSG00000000375	1	1	2	0	1	2	2	0
ENSG00000000376	0	1	0	0	0	1	3	1
ENSG00000000377	9	8	9	12	9	5	5	4
ENSG00000000378	12	17	21	12	10	13	18	16
ENSG00000000379	11	2	13	12	2	10	5	4
ENSG00000000380	13	22	23	5	11	3	8	3
ENSG00000000381	15	16	9	12	9	12	16	10
ENSG00000000382	2	0	10	2	2	6	3	2
ENSG00000000383	6	2	6	6	1	15	10	6
ENSG00000000384	11	3	21	12	4	17	14	7
ENSG00000000385	7	19	8	10	6	11	11	15
ENSG00000000386	0	4	1	4	2	2	0	3
ENSG00000000387	9	9	12	11	8	23	22	19
ENSG00000000388	8	20	18	13	8	7	15	8
ENSG00000000389	6	9	10	15	4	14	16	3
ENSG00000000390	12	11	1	4	14	7	6	16
ENSG00000000391	8	9	9	5	16	13	9	15
ENSG00000000392	9	4	3	1	6	1	3	8
ENSG00000000393	8	4	8	5	14	11	23	9
ENSG00000000394	1	0	0	0	1	0	0	0
ENSG00000000395	3	1	4	2	0	5	2	4
ENSG00000000396	19	10	6	5	10	13	6	5
ENSG00000000397	10	22	15	12	14	11	4	13
ENSG00000000398	14	15	17	10	8	14	21	9
ENSG00000000399	7	7	12	6	6	20	3	5
ENSG00000000400	8	10	13	2	25	16	12	25
__no_feature	23692	27240	35359	35447	78693	75267	80730	30377
__ambiguous	40743	65412	37064	68496	20599	61023	54583	67915
__too_low_aQual	81431	33576	50048	42470	83445	49599	87935	26803
__not_aligned	64041	34079	26432	20031	58625	53153	63416	24389
__alignment_not_unique	83834	33917	42353	68698	50223	41012	29839	78603
